Season,Player,Points,ELO,Wins,Losses,Rank,ArchivedAt
MAY_2026,ACTIVE,69,9,8,1,1,2026-06-01T04:59:45.918Z
MAY_2026,ACTIVE,84,16,11,5,2,2026-06-01T04:59:45.918Z
MAY_2026,ACTIVE,11,5,2,3,3,2026-06-01T04:59:45.918Z
MAY_2026,ACTIVE,0,7,2,5,4,2026-06-01T04:59:45.918Z
MAY_2026,ACTIVE,71,14,7,7,5,2026-06-01T04:59:45.918Z
MAY_2026,ELIMINATED,0,9,3,6,6,2026-06-01T04:59:45.918Z
MAY_2026,ACTIVE,15,4,2,2,7,2026-06-01T04:59:45.918Z
MAY_2026,ACTIVE,0,1,0,1,8,2026-06-01T04:59:45.918Z
MAY_2026,ELIMINATED,0,3,0,3,9,2026-06-01T04:59:45.918Z
MAY_2026,ELIMINATED,0,2,0,2,10,2026-06-01T04:59:45.918Z
